CountryCode,name,language
ABW,Aruba,Dutch
ABW,Aruba,English
ABW,Aruba,Papiamento
ABW,Aruba,Spanish
AFG,Afghanistan,Balochi
AFG,Afghanistan,Dari
AFG,Afghanistan,Pashto
AFG,Afghanistan,Turkmenian
AFG,Afghanistan,Uzbek
AGO,Angola,Ambo
AGO,Angola,Chokwe
AGO,Angola,Kongo
AGO,Angola,Luchazi
AGO,Angola,Luimbe-nganguela
AGO,Angola,Luvale
AGO,Angola,Mbundu
AGO,Angola,Nyaneka-nkhumbi
AGO,Angola,Ovimbundu
AIA,Anguilla,English
ALB,Albania,Albaniana
ALB,Albania,Greek
ALB,Albania,Macedonian
AND,Andorra,Catalan
AND,Andorra,French
AND,Andorra,Portuguese
AND,Andorra,Spanish
ANT,"Netherlands Antilles",Dutch
ANT,"Netherlands Antilles",English
ANT,"Netherlands Antilles",Papiamento
ARE,"United Arab Emirates",Arabic
ARE,"United Arab Emirates",Hindi
ARG,Argentina,"Indian Languages"
ARG,Argentina,Italian
ARG,Argentina,Spanish
ARM,Armenia,Armenian
ARM,Armenia,Azerbaijani
ASM,"American Samoa",English
ASM,"American Samoa",Samoan
ASM,"American Samoa",Tongan
ATG,"Antigua and Barbuda","Creole English"
ATG,"Antigua and Barbuda",English
AUS,Australia,Arabic
AUS,Australia,"Canton Chinese"
AUS,Australia,English
AUS,Australia,German
AUS,Australia,Greek
AUS,Australia,Italian
AUS,Australia,Serbo-Croatian
AUS,Australia,Vietnamese
AUT,Austria,Czech
AUT,Austria,German
AUT,Austria,Hungarian
AUT,Austria,Polish
AUT,Austria,Romanian
AUT,Austria,Serbo-Croatian
AUT,Austria,Slovene
AUT,Austria,Turkish
AZE,Azerbaijan,Armenian
AZE,Azerbaijan,Azerbaijani
AZE,Azerbaijan,Lezgian
AZE,Azerbaijan,Russian
BDI,Burundi,French
BDI,Burundi,Kirundi
BDI,Burundi,Swahili
BEL,Belgium,Arabic
BEL,Belgium,Dutch
BEL,Belgium,French
BEL,Belgium,German
BEL,Belgium,Italian
BEL,Belgium,Turkish
BEN,Benin,Adja
BEN,Benin,Aizo
BEN,Benin,Bariba
